id,drought_stress_factor_1_to_5,growth_scenario,market_gravity
51_26,2,moderate_growth,25
51_27,2,moderate_growth,25
51_28,3,moderate_growth,25
51_29,2,moderate_growth,25
51_3,4,moderate_growth,25
51_30,2,moderate_growth,25
51_31,4,moderate_growth,25
51_32,4,moderate_growth,25
51_33,4,moderate_growth,25
51_34,4,moderate_growth,25
51_35,3,moderate_growth,25
51_36,3,moderate_growth,25
51_37,4,moderate_growth,25
51_38,3,moderate_growth,25
51_39,3,moderate_growth,25
51_4,4,moderate_growth,25
51_40,3,moderate_growth,25
51_41,4,moderate_growth,25
51_42,4,moderate_growth,25
51_43,4,moderate_growth,25
51_44,4,moderate_growth,25
51_45,4,moderate_growth,25
51_46,5,moderate_growth,25
51_47,5,moderate_growth,25
51_48,5,moderate_growth,25
51_49,4,moderate_growth,25
51_5,2,moderate_growth,25
51_50,3,moderate_growth,25
51_51,4,moderate_growth,25
51_52,3,moderate_growth,25
51_53,3,moderate_growth,25
51_54,3,moderate_growth,25
51_55,3,moderate_growth,25
51_56,1,moderate_growth,25
51_57,3,moderate_growth,25
51_58,3,moderate_growth,25
51_59,4,moderate_growth,25
51_6,2,moderate_growth,25
51_60,4,moderate_growth,25
51_61,3,moderate_growth,25
51_62,4,moderate_growth,25
51_63,4,moderate_growth,25
51_64,3,moderate_growth,25
51_65,3,moderate_growth,25
51_66,3,moderate_growth,25
51_67,2,moderate_growth,25
51_68,3,moderate_growth,25
51_69,2,moderate_growth,25
51_7,2,moderate_growth,25
51_70,4,moderate_growth,25
51_71,2,moderate_growth,25
51_72,2,moderate_growth,25
51_73,5,moderate_growth,25
51_74,3,moderate_growth,25
51_75,4,moderate_growth,25
51_8,4,moderate_growth,25
51_9,4,moderate_growth,25
53_0,1,moderate_growth,25
53_1,1,moderate_growth,25
53_10,1,moderate_growth,25
53_2,5,moderate_growth,25
53_3,5,moderate_growth,25
53_4,5,moderate_growth,25
53_5,1,moderate_growth,25
53_6,1,moderate_growth,25
53_7,1,moderate_growth,25
53_8,5,moderate_growth,25
53_9,1,moderate_growth,25
56_0,2,moderate_growth,25
56_1,2,moderate_growth,25
56_2,2,moderate_growth,25
56_3,2,moderate_growth,25
1_0,1,moderate_growth,50
1_1,3,moderate_growth,50
1_2,1,moderate_growth,50
4_0,1,moderate_growth,50
4_1,1,moderate_growth,50
4_10,5,moderate_growth,50
4_11,5,moderate_growth,50
4_12,5,moderate_growth,50
4_13,5,moderate_growth,50
4_2,1,moderate_growth,50
4_3,5,moderate_growth,50
4_4,1,moderate_growth,50
4_5,1,moderate_growth,50
4_6,1,moderate_growth,50
4_7,5,moderate_growth,50
4_8,5,moderate_growth,50
4_9,5,moderate_growth,50
6_0,3,moderate_growth,50
6_1,3,moderate_growth,50
6_10,3,moderate_growth,50
6_11,2,moderate_growth,50
6_12,3,moderate_growth,50
6_13,3,moderate_growth,50
6_14,2,moderate_growth,50
6_15,3,moderate_growth,50
6_16,3,moderate_growth,50
6_17,2,moderate_growth,50
6_18,2,moderate_growth,50
6_19,3,moderate_growth,50
6_2,2,moderate_growth,50
6_20,2,moderate_growth,50
6_3,2,moderate_growth,50
6_4,2,moderate_growth,50
6_5,2,moderate_growth,50
6_6,3,moderate_growth,50
6_7,3,moderate_growth,50
6_8,3,moderate_growth,50
6_9,2,moderate_growth,50
8_0,5,moderate_growth,50
8_1,5,moderate_growth,50
8_2,5,moderate_growth,50
12_0,5,moderate_growth,50
12_1,5,moderate_growth,50
12_2,5,moderate_growth,50
13_0,2,moderate_growth,50
13_1,3,moderate_growth,50
13_10,3,moderate_growth,50
13_11,4,moderate_growth,50
13_12,3,moderate_growth,50
13_13,3,moderate_growth,50
13_2,4,moderate_growth,50
13_3,3,moderate_growth,50
13_4,4,moderate_growth,50
13_5,3,moderate_growth,50
13_6,4,moderate_growth,50
13_7,3,moderate_growth,50
13_8,3,moderate_growth,50
13_9,4,moderate_growth,50
17_0,5,moderate_growth,50
17_1,4,moderate_growth,50
17_10,4,moderate_growth,50
17_11,4,moderate_growth,50
17_12,4,moderate_growth,50
17_13,4,moderate_growth,50
17_14,4,moderate_growth,50
17_15,4,moderate_growth,50
17_2,4,moderate_growth,50
17_3,5,moderate_growth,50
17_4,4,moderate_growth,50
17_5,5,moderate_growth,50
17_6,5,moderate_growth,50
17_7,5,moderate_growth,50
17_8,5,moderate_growth,50
17_9,5,moderate_growth,50
19_0,1,moderate_growth,50
19_1,1,moderate_growth,50
19_10,1,moderate_growth,50
19_11,2,moderate_growth,50
19_12,1,moderate_growth,50
19_13,1,moderate_growth,50
19_2,1,moderate_growth,50
19_3,1,moderate_growth,50
19_4,1,moderate_growth,50
19_5,1,moderate_growth,50
19_6,1,moderate_growth,50
19_7,1,moderate_growth,50
19_8,2,moderate_growth,50
19_9,1,moderate_growth,50
21_0,5,moderate_growth,50
21_1,5,moderate_growth,50
21_2,5,moderate_growth,50
25_0,3,moderate_growth,50
25_1,3,moderate_growth,50
26_0,1,moderate_growth,50
27_0,2,moderate_growth,50
29_0,1,moderate_growth,50
29_1,1,moderate_growth,50
30_0,2,moderate_growth,50
31_0,1,moderate_growth,50
31_1,2,moderate_growth,50
